2024-07-25 08:51:09 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-25 08:51:19 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 8
2024-07-26 14:57:42 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 2
2024-07-26 14:57:52 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 3
2024-07-26 14:58:03 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 14:58:12 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 14:58:22 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 2
2024-07-26 14:58:32 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 14:58:42 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 14:58:52 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 3
2024-07-26 14:59:02 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 3
2024-07-26 14:59:12 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 9
2024-07-26 14:59:22 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 4
2024-07-26 14:59:32 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 14:59:42 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 2
2024-07-26 14:59:52 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 5
2024-07-26 15:00:02 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 4
2024-07-26 15:00:12 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:00:22 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 5
2024-07-26 15:00:32 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:00:42 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:00:52 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:01:02 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 2
2024-07-26 15:01:12 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 9
2024-07-26 15:01:22 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:01:32 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 4
2024-07-26 15:01:42 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 8
2024-07-26 15:01:52 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:02:02 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:02:12 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 2
2024-07-26 15:02:22 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 9
